idTree,datePlanting,latitude,longitude,altitude,orientSlope,dirSlope,typePlantation,distDrainage,depthDrainage
avocado_01,2018-12-01,6.20961,-75.3476,2028,E,85,LA,0,0
avocado_02,2018-12-01,6.20953,-75.34772,2037,E,97,LA,0,0
avocado_03,2018-12-01,6.2094,-75.34792,2063,E,106,PA,0,0
avocado_04,2018-12-01,6.20938,-75.3477,2068,E,94,LA,1.08,0.45
avocado_05,2018-12-01,6.20938,-75.34764,2075,SE,128,LA,1.7,0.4
avocado_06,2019-07-01,6.20942,-75.3475,2082,SE,130,LA,3.9,0.3
avocado_07,2019-05-01,6.20908,-75.34736,2095,NE,70,LA,1.2,0.4
avocado_08,2019-07-01,6.20903,-75.34738,2106,NE,34,LA,5.7,0.42
avocado_09,2019-05-01,6.20892,-75.3471,2116,N,38,LA,11.6,0.32
avocado_10,2018-12-01,6.20877,-75.347,2127,N,5,LA,0,0
avocado_11,2018-12-01,6.20872,-75.34698,2132,N,12,LA,0,0
avocado_12,2018-12-01,6.20875,-75.34694,2135,N,10,LA,0,0
avocado_13,2018-12-01,6.20875,-75.3468,2137,N,10,LA,0,0
avocado_14,2018-12-01,6.20869,-75.34653,2145,N,2,LA,13.6,0.3
avocado_15,2018-12-01,6.20872,-75.3465,2143,N,3,LA,2.9,0.32
avocado_16,2019-12-01,6.20883,-75.3463,2146,N,7,LA,14.4,0.43
avocado_17,2019-12-01,6.20883,-75.34631,2147,NW,328,LA,8.1,0.35
avocado_18,2018-12-01,6.20892,-75.34605,2148,NW,330,LA,3.8,0.32
avocado_19,2018-12-01,6.20894,-75.34609,2145,W,298,LA,8,0.3
avocado_20,2018-12-01,6.20903,-75.34603,2148,W,262,LA,0,0
avocado_21,2018-12-01,6.20938,-75.34592,2146,SW,246,LA,13.4,0.34
avocado_22,2018-12-01,6.2094,-75.34594,2147,SW,230,LA,13.5,0.32
avocado_23,2018-12-01,6.20953,-75.34605,2148,S,202,LA,5.2,0.32
avocado_24,2018-12-01,6.20953,-75.34614,2148,W,280,LA,0,0
avocado_25,2018-12-01,6.2095,-75.34627,2149,N,359,LA,11.3,0.3
avocado_26,2018-12-01,6.20972,-75.34659,2133,NW,300,LA,16.3,0.31
avocado_27,2018-12-01,6.2097,-75.34638,2134,NW,321,LA,9.4,0.31
avocado_28,2018-12-01,6.20892,-75.34669,2143,N,20,LA,12.5,0.22
avocado_29,2018-12-01,6.20903,-75.34686,2140,NW,46,LA,0,0
avocado_30,2018-12-01,6.20905,-75.34681,2137,NW,60,LA,13.2,0.4
