idTree,dateObservation,presenceMarceno,oldLeavesMarceno,newLeavesMarceno,fruitDamageMarceno
avocado_01,2022-09-06,0,NA,NA,NA
avocado_02,2022-09-06,0,NA,NA,NA
avocado_03,2022-09-06,0,NA,NA,NA
avocado_04,2022-09-06,0,NA,NA,NA
avocado_05,2022-09-06,1,NA,NA,AL
avocado_06,2022-09-06,1,NA,NA,AL
avocado_07,2022-09-06,1,NA,NA,AL
avocado_08,2022-09-06,0,NA,NA,NA
avocado_09,2022-09-06,1,AL,NA,NA
avocado_10,2022-09-06,1,AL,NA,NA
avocado_11,2022-09-06,1,AL,NA,NA
avocado_12,2022-09-06,0,NA,NA,NA
avocado_13,2022-09-06,1,AL,NA,NA
avocado_14,2022-09-06,1,AL,NA,NA
avocado_15,2022-09-06,0,NA,NA,NA
avocado_16,2022-09-06,0,NA,NA,NA
avocado_17,2022-09-06,1,AL,NA,NA
avocado_18,2022-09-06,0,NA,NA,NA
avocado_19,2022-09-06,0,NA,NA,NA
avocado_20,2022-09-06,1,NA,NA,AL
avocado_21,2022-09-06,0,NA,NA,NA
avocado_22,2022-09-06,0,NA,NA,NA
avocado_23,2022-09-06,1,NA,NA,AL
avocado_24,2022-09-06,0,NA,NA,NA
avocado_25,2022-09-06,0,NA,NA,NA
avocado_26,2022-09-06,0,NA,NA,NA
avocado_27,2022-09-06,1,AL,NA,NA
avocado_28,2022-09-06,1,AL,NA,NA
avocado_29,2022-09-06,0,NA,NA,NA
avocado_30,2022-09-06,0,NA,NA,NA
avocado_01,2022-10-01,1,AL,NA,NA
avocado_02,2022-10-01,1,AL,NA,NA
avocado_03,2022-10-01,1,AL,NA,NA
avocado_04,2022-10-01,1,AL,NA,NA
avocado_05,2022-10-01,1,AL,NA,NA
avocado_06,2022-10-01,1,AL,NA,NA
avocado_07,2022-10-01,1,AL,NA,NA
avocado_08,2022-10-01,1,AL,NA,NA
avocado_09,2022-10-01,1,NA,NA,NA
avocado_10,2022-10-01,1,AL,NA,NA
avocado_11,2022-10-01,1,NA,NA,NA
avocado_12,2022-10-01,1,AL,NA,NA
avocado_13,2022-10-01,1,AL,NA,NA
avocado_14,2022-10-01,1,AL,NA,NA
avocado_15,2022-10-01,1,AL,NA,NA
avocado_16,2022-10-01,0,NA,NA,NA
avocado_17,2022-10-01,0,NA,NA,NA
avocado_18,2022-10-01,1,AL,NA,NA
avocado_19,2022-10-01,0,NA,NA,NA
avocado_20,2022-10-01,0,NA,NA,NA
avocado_21,2022-10-01,0,NA,NA,NA
avocado_22,2022-10-01,0,NA,NA,NA
avocado_23,2022-10-01,0,NA,NA,NA
avocado_24,2022-10-01,0,NA,NA,NA
avocado_25,2022-10-01,0,NA,NA,NA
avocado_26,2022-10-01,0,NA,NA,NA
avocado_27,2022-10-01,0,NA,NA,NA
avocado_28,2022-10-01,0,NA,NA,NA
avocado_29,2022-10-01,0,NA,NA,NA
avocado_30,2022-10-01,0,NA,NA,NA
avocado_01,2022-10-17,0,AL,NA,NA
avocado_02,2022-10-17,0,NA,NA,NA
avocado_03,2022-10-17,0,AL,NA,NA
avocado_04,2022-10-17,0,NA,NA,NA
avocado_05,2022-10-17,0,AL,NA,AL
avocado_06,2022-10-17,0,AL,NA,NA
avocado_07,2022-10-17,0,AL,NA,AL
avocado_08,2022-10-17,0,NA,NA,NA
avocado_09,2022-10-17,0,NA,NA,AL
avocado_10,2022-10-17,0,AL,NA,NA
avocado_11,2022-10-17,0,AL,NA,NA
avocado_12,2022-10-17,0,AL,NA,NA
avocado_13,2022-10-17,0,AL,NA,AL
avocado_14,2022-10-17,0,AL,NA,NA
avocado_15,2022-10-17,0,AL,NA,NA
avocado_16,2022-10-17,0,AL,NA,NA
avocado_17,2022-10-17,0,AL,NA,NA
avocado_18,2022-10-17,0,AL,NA,AL
avocado_19,2022-10-17,0,AL,NA,NA
avocado_20,2022-10-17,0,NA,NA,AL
avocado_21,2022-10-17,0,NA,NA,AL
avocado_22,2022-10-17,0,NA,NA,NA
avocado_23,2022-10-17,0,NA,NA,AL
avocado_24,2022-10-17,0,AL,NA,AL
avocado_25,2022-10-17,0,NA,NA,NA
avocado_26,2022-10-17,0,AL,NA,AL
