idTree,dateObservation,presenceMonalonion,oldLeavesMonalonion,newLeavesMonalonion,fruitDamageMonalonion
avocado_01,2022-09-06,1,BA,BA,AL 
avocado_02,2022-09-06,0,BA,BA,AL 
avocado_03,2022-09-06,1,BA,BA,AL 
avocado_04,2022-09-06,1,BA,BA,NA 
avocado_05,2022-09-06,0,BA,BA,NA 
avocado_06,2022-09-06,0,BA,BA,NA 
avocado_07,2022-09-06,0,BA,BA,NA 
avocado_08,2022-09-06,1,BA,BA,NA 
avocado_09,2022-09-06,0,BA,BA,NA 
avocado_10,2022-09-06,1,BA,BA,NA 
avocado_11,2022-09-06,1,BA,BA,NA 
avocado_12,2022-09-06,1,BA,BA,AL 
avocado_13,2022-09-06,1,BA,BA,AL 
avocado_14,2022-09-06,1,BA,BA,AL 
avocado_15,2022-09-06,1,BA,BA,AL 
avocado_16,2022-09-06,1,BA,BA,NA 
avocado_17,2022-09-06,0,BA,BA,NA 
avocado_18,2022-09-06,1,BA,BA,AL 
avocado_19,2022-09-06,1,BA,BA,AL 
avocado_20,2022-09-06,1,BA,BA,AL 
avocado_21,2022-09-06,1,BA,BA,AL 
avocado_22,2022-09-06,0,BA,BA,NA 
avocado_23,2022-09-06,0,BA,BA,NA 
avocado_24,2022-09-06,1,BA,BA,AL 
avocado_25,2022-09-06,1,BA,BA,AL 
avocado_26,2022-09-06,0,BA,BA,NA 
avocado_27,2022-09-06,1,BA,BA,AL 
avocado_28,2022-09-06,0,BA,BA,NA 
avocado_29,2022-09-06,0,BA,BA,NA 
avocado_30,2022-09-06,0,BA,BA,NA 
avocado_01,2022-10-01,0,BA,BA,AL 
avocado_02,2022-10-01,0,BA,BA,AL 
avocado_03,2022-10-01,0,BA,BA,AL 
avocado_04,2022-10-01,0,BA,BA,AL 
avocado_05,2022-10-01,0,BA,BA,AL 
avocado_06,2022-10-01,0,BA,BA,AL 
avocado_07,2022-10-01,0,BA,BA,AL 
avocado_08,2022-10-01,0,BA,BA,AL 
avocado_09,2022-10-01,0,BA,BA,NA
avocado_10,2022-10-01,0,BA,BA,AL 
avocado_11,2022-10-01,0,BA,BA,NA
avocado_12,2022-10-01,0,BA,BA,AL 
avocado_13,2022-10-01,0,BA,BA,AL 
avocado_14,2022-10-01,1,BA,BA,AL 
avocado_15,2022-10-01,0,BA,BA,AL 
avocado_16,2022-10-01,0,BA,BA,AL 
avocado_17,2022-10-01,0,BA,BA,AL 
avocado_18,2022-10-01,0,BA,BA,AL 
avocado_19,2022-10-01,0,BA,BA,AL 
avocado_20,2022-10-01,0,BA,BA,NA
avocado_21,2022-10-01,0,BA,BA,NA
avocado_22,2022-10-01,0,BA,BA,NA
avocado_23,2022-10-01,0,BA,BA,NA
avocado_24,2022-10-01,0,BA,BA,NA
avocado_25,2022-10-01,0,BA,BA,NA
avocado_26,2022-10-01,0,BA,BA,NA
avocado_27,2022-10-01,0,BA,BA,NA
avocado_28,2022-10-01,0,BA,BA,NA
avocado_29,2022-10-01,0,BA,BA,NA
avocado_30,2022-10-01,0,BA,BA,NA
avocado_01,2022-10-17,0,BA,BA,AL 
avocado_02,2022-10-17,0,BA,BA,NA
avocado_03,2022-10-17,0,BA,BA,AL 
avocado_04,2022-10-17,0,BA,BA,NA
avocado_05,2022-10-17,0,BA,BA,NA
avocado_06,2022-10-17,0,BA,BA,NA
avocado_07,2022-10-17,0,BA,BA,NA
avocado_08,2022-10-17,0,BA,BA,NA
avocado_09,2022-10-17,0,BA,BA,NA
