timestamp,relativeHumidity,airTemp,rainfall,speedWind,dirWind,radiationSolar,rawSolarValue,fluxSolar
2023-03-18 12:00,73.4,20.46,0,0,319.1,155.1,5.978,0.0465216
2023-03-18 12:15,83.2,18.23,0,1.351,146.2,62.85,2.423,0.0565647
2023-03-18 12:30,89.6,15.86,0,1.185,81.7,39,1.503,0.0350967
2023-03-18 12:45,94.6,15.09,3.048,0.542,131.9,84.8,3.27,0.0763353
2023-03-18 13:00,95.8,14.96,2.286,0.445,46.25,217.8,8.39,0.1959801
2023-03-18 13:15,94.3,15.31,0,0.691,36.91,268.4,10.35,0.2415903
2023-03-18 13:30,91,15.8,0,0.327,0.069,208.1,8.02,0.1873134
2023-03-18 13:45,92.8,16.16,0.508,0.19,117.7,204,7.866,0.1836297
2023-03-18 14:00,93.4,16.22,0,0.209,43.21,221.9,8.55,0.1997151
2023-03-18 14:15,91.7,16.39,0,0,46.38,188.5,7.269,0.1696941
2023-03-18 14:30,92.8,16.47,0,0,237.7,147.4,5.683,0.1326624
2023-03-18 14:45,90.2,16.53,0,0.073,55.53,175.4,6.763,0.157878
2023-03-18 15:00,91.9,16.48,0,0.243,130.4,155,5.977,0.1395243
2023-03-18 15:15,89.4,16.43,0,0.09,53.77,147.1,5.671,0.1323978
2023-03-18 15:30,92.9,16.29,0,0.362,52.39,184.3,7.104,0.1658373
2023-03-18 15:45,91,16.58,0,0.519,141.1,226,8.71,0.2033595
2023-03-18 16:00,92.3,16.51,0,0.233,140.6,108.8,4.196,0.0979518
2023-03-18 16:15,92,16.28,0,0.177,99.7,100.6,3.876,0.090498
2023-03-18 16:30,92.4,16.1,0,0.335,122.2,140.4,5.414,0.1263903
2023-03-18 16:45,91.3,16.28,0,0.314,130.8,252.2,9.72,0.2269602
2023-03-18 17:00,84.6,16.82,0,0.283,44.76,287.1,11.07,0.2583834
2023-03-18 17:15,83.5,17.56,0,0.255,128.5,239.2,9.22,0.2152416
2023-03-18 17:30,83.9,17.17,0,0.235,127.1,86.2,3.324,0.0776118
2023-03-18 17:45,88.5,16.69,0,0,19.94,35.89,1.384,0.0323043
2023-03-18 18:00,89.6,16.27,0,0,291,15.54,0.599,0.0139866
2023-03-18 18:15,91.7,16.08,0,0,315.9,2.684,0.103,0.0024153
2023-03-18 18:30,92.5,15.93,0,0.174,148,-0.054,-0.002,-4.89E-05
2023-03-18 18:45,93.3,15.88,0,0.349,137.7,-0.439,-0.017,-0.0003954
2023-03-18 19:00,93.8,15.64,0,0,139.4,-0.581,-0.022,-0.0005232
2023-03-18 19:15,94.3,15.3,0,0.278,141.8,-0.756,-0.029,-0.0006807
2023-03-18 19:30,95.3,15.06,0,0.197,130.5,-0.311,-0.012,-0.0002796
2023-03-18 19:45,95.3,14.99,0,0.323,74.72,-0.727,-0.028,-0.000654
2023-03-18 20:00,95.8,14.8,0,0.154,136.6,-0.366,-0.014,-0.0003297
2023-03-18 20:15,96.2,14.69,0,0,130.1,-0.227,-0.009,-0.000204
2023-03-18 20:30,96.8,14.71,0,0,111.2,-0.254,-0.01,-0.0002286
2023-03-18 20:45,96.8,14.62,0,0,108,-0.334,-0.013,-0.0003003
2023-03-18 21:00,97.1,14.49,0,0,114.5,-0.436,-0.017,-0.0003921
2023-03-18 21:15,97.6,14.31,0,0,114.5,-0.335,-0.013,-0.0003015
2023-03-18 21:30,98,14.24,0,0,113,-0.34,-0.013,-0.0003063
2023-03-18 21:45,98,14.12,0,0,113,-0.42,-0.016,-0.000378
2023-03-18 22:00,97.9,13.92,0,0,113,-0.466,-0.018,-0.0004197
2023-03-18 22:15,98,13.8,0,0,97.8,-0.67,-0.026,-0.000603
2023-03-18 22:30,98.4,13.55,0,0,97.7,-0.49,-0.019,-0.0004407
2023-03-18 22:45,98.6,13.48,0,0,95.1,-0.405,-0.015,-0.0003642
2023-03-18 23:00,98.4,13.06,0,0,95.1,-0.563,-0.022,-0.0005067
2023-03-18 23:15,98.6,12.77,0,0,95.1,-0.383,-0.015,-0.0003444
2023-03-18 23:30,98.6,12.75,0,0,95.1,-0.211,-0.008,-0.0001902
2023-03-18 23:45,99,12.68,0,0,95.1,-0.244,-0.009,-0.0002193
2023-03-19 00:00,99.2,12.71,0,0,102.2,-0.442,-0.017,-0.0003975
2023-03-19 00:15,99.3,12.77,0,0,77.01,-0.502,-0.019,-0.0004521
2023-03-19 00:30,99.1,12.57,0,0,77,-0.548,-0.021,-0.0004929
2023-03-19 00:45,99.1,12.37,0,0,77,-0.209,-0.008,-0.0001878
2023-03-19 01:00,99.2,12.27,0,0,76.99,-0.179,-0.007,-0.0001608
2023-03-19 01:15,99.3,12.27,0,0,77.01,-0.339,-0.013,-0.0003051
2023-03-19 01:30,99.3,12.17,0,0,89.3,-0.113,-0.004,-0.0001017
2023-03-19 01:45,99.6,12.37,0,0,52.12,-0.05,-0.002,-4.53E-05
2023-03-19 02:00,99.6,12.44,0,0,52.11,-0.102,-0.004,-9.18E-05
2023-03-19 02:15,99.7,12.54,0,0,44.93,-0.139,-0.005,-0.0001251
2023-03-19 02:30,99.8,12.71,0,0,44.93,-0.112,-0.004,-0.0001008
2023-03-19 02:45,99.8,12.69,0,0,44.93,-0.152,-0.006,-0.0001368
